                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.83626,                0.81475,                0.89243,                 0.9885,                0.97223,                0.99368,                0.74093,                0.92442,                0.55191,                 1.0075,             0.00066597,             0.00066597,             0.00066597
                      1,                0.73982,                0.45937,                0.87111,                0.99114,                 0.9836,                0.99422,                0.77621,                0.90946,                0.52443,                0.99046,              0.0012799,              0.0012799,              0.0012799
                      2,                0.72263,                0.43226,                0.86915,                0.98775,                0.98231,                0.99383,                 0.7607,                0.90454,                0.46153,                0.97651,               0.001841,               0.001841,               0.001841
                      3,                 0.6994,                0.39957,                0.85894,                0.98691,                0.96584,                0.99075,                0.79365,                0.81542,                0.49668,                0.93726,              0.0017624,              0.0017624,              0.0017624
                      4,                0.67716,                0.38646,                0.85263,                0.98986,                0.98362,                0.99459,                0.81335,                0.78516,                0.41213,                0.94066,              0.0017624,              0.0017624,              0.0017624
                      5,                0.66965,                0.37729,                0.85178,                0.99039,                0.98062,                0.99436,                0.81564,                0.76967,                0.42083,                0.92428,              0.0016832,              0.0016832,              0.0016832
                      6,                0.63941,                0.35747,                0.84568,                0.98913,                0.98166,                0.99441,                0.83141,                 0.7541,                0.41533,                  0.925,               0.001604,               0.001604,               0.001604
                      7,                0.64311,                 0.3551,                 0.8481,                0.98413,                0.98502,                0.99417,                0.82395,                0.75144,                0.38719,                0.91595,              0.0015248,              0.0015248,              0.0015248
                      8,                 0.6289,                0.34049,                0.84161,                0.99007,                0.98162,                0.99437,                0.82623,                0.73306,                0.38994,                0.91337,              0.0014456,              0.0014456,              0.0014456
                      9,                0.61829,                0.33659,                0.83913,                0.99589,                0.98522,                0.99476,                0.85005,                0.70865,                0.36751,                0.90463,              0.0013664,              0.0013664,              0.0013664
                     10,                 0.6032,                0.32778,                0.83816,                0.99498,                0.98062,                0.99441,                 0.8425,                0.70198,                0.34994,                0.90101,              0.0012872,              0.0012872,              0.0012872
                     11,                0.59759,                0.32041,                0.83648,                0.99254,                0.98384,                0.99469,                0.82643,                0.76416,                0.37547,                0.91197,               0.001208,               0.001208,               0.001208
                     12,                0.59711,                0.31676,                0.83472,                0.99338,                0.98882,                0.99487,                0.84469,                0.67472,                 0.3464,                0.89707,              0.0011288,              0.0011288,              0.0011288
                     13,                0.58537,                0.30855,                0.83197,                0.99576,                  0.985,                0.99482,                 0.8592,                 0.6827,                0.34495,                0.89607,              0.0010496,              0.0010496,              0.0010496
                     14,                0.58055,                0.30057,                0.83178,                0.99416,                0.98577,                0.99482,                0.85146,                0.66725,                0.34683,                0.89326,              0.0009704,              0.0009704,              0.0009704
                     15,                0.57606,                0.29898,                0.83208,                0.99327,                0.98622,                0.99482,                0.84612,                0.67268,                0.32881,                0.89117,              0.0008912,              0.0008912,              0.0008912
                     16,                0.57112,                0.29269,                0.83085,                0.99554,                0.98382,                0.99478,                0.85301,                 0.6649,                0.32717,                0.89165,               0.000812,               0.000812,               0.000812
                     17,                0.56269,                0.28873,                0.83064,                0.99596,                0.98442,                0.99478,                0.85653,                0.66644,                0.32454,                0.89318,              0.0007328,              0.0007328,              0.0007328
                     18,                0.56064,                0.28556,                 0.8292,                0.99376,                0.98696,                0.99484,                0.85849,                0.67053,                0.31617,                0.89101,              0.0006536,              0.0006536,              0.0006536
                     19,                 0.5494,                0.27532,                0.82786,                 0.9939,                0.98801,                0.99482,                0.86141,                0.64131,                0.30122,                0.88333,              0.0005744,              0.0005744,              0.0005744
                     20,                0.54709,                0.27473,                0.82466,                0.99516,                0.98673,                0.99484,                0.86121,                0.64774,                0.30437,                0.88303,              0.0004952,              0.0004952,              0.0004952
                     21,                0.54138,                0.27108,                0.82554,                0.99618,                0.98855,                0.99491,                0.86051,                0.64809,                0.30269,                0.88477,               0.000416,               0.000416,               0.000416
                     22,                0.53498,                0.26505,                0.82593,                0.99199,                0.98902,                0.99485,                0.86589,                0.64761,                0.29672,                0.88488,              0.0003368,              0.0003368,              0.0003368
                     23,                0.53104,                0.26023,                0.82328,                0.99398,                0.99061,                0.99492,                0.86984,                0.62752,                0.28838,                0.87874,              0.0002576,              0.0002576,              0.0002576
                     24,                0.52209,                0.25367,                0.82261,                 0.9963,                0.98821,                0.99491,                0.86531,                 0.6447,                0.29154,                0.88155,              0.0001784,              0.0001784,              0.0001784
